,id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
169777,06826076-19fc-4b33-b2a6-8cb384364fe3,A 48-years-old female suffering from severe menorrhagia (DUB) underwent hysterectomy. She wishes to take hormone replacement therapy. Physical examination and breast are normal but X-ray shows osteoporosis. The treatment of choice is:,Progesterone,Estrogen and progesterone,Estrogen,None,2,multi,,Gynaecology & Obstetrics,
169852,ac408e0e-2d8e-4d74-adb3-d1b04594bb4c,Which of the following drugs can be used for the treatment of chloroquine resistant malaria in children?,Chloroquine,Doxycycline,Tetracycline,Clindamycin,3,single,"CHLOROQUINE It is a rapidly acting erythrocytic schizontocide against all species of plasmodia; controls most clinical attacks in 1-2 days with disappearance of parasites from peripheral blood in 1-3 days. Therapeutic plasma concentrations are in the range of 15-30 ng/ml. However, it has no effect on pre- and exo-erythrocytic phases of the parasite-does not prevent relapses in vivax and ovale malaria. Resistance in P. falciparum is associated with a decreased ability of the parasite to accumulate chloroquine. Veraparnil, a Ca2+ channel blocker, has been found to restore both the chloroquine concentrating ability as well as sensitivity to this drug. For pediatric patients, the treatment options are the same as for adults except the drug dose is adjusted by patient weight. The pediatric dose should never exceed the recommended adult dose. Pediatric dosing may be difficult due to unavailability of non-capsule forms of quinine. If unable to provide pediatric doses of quinine, consider one of the other three options. If using a quinine-based regimen for children less than eight years old, doxycycline and tetracycline are generally not indicated; therefore, quinine can be given alone for a full 7 days regardless of where the infection was acquired or given in combination with clindamycin as recommended above. In rare instances, doxycycline or tetracycline can be used in combination with quinine in children less than 8 years old if other treatment options are not available or are not tolerated, and the benefit of adding doxycycline or tetracycline is judged to outweigh the risk. If infections initially attributed to ""species not identified"" are subsequently diagnosed as being due to P. vivax or P. ovale, additional treatment with primaquine should be administered. ESSENTIALS OF MEDICAL PHARMACOLOGY, www.cdc.gov/malaria/diagnosis_treatment K.D.TRIPATHI SIXTH EDITION PAGE NO:785",Pharmacology,Chemotherapy
169958,ffa5e33f-52e1-4bec-bd44-c097b5df6e5b,A patient presents with malignant hypehermia and metabolic acidosis. Immediate treatment should be staed with:,Intravenous Dantrolene,Sodium bicarbonate,Intravenous fluids,Paracetamol,0,single,"Ref: Harrison 18th/147 The current treatment of choice for malignant hypehermia is the intravenous administration of dantrolene other impoant measures are: *Discontinuation of triggering agents *Suppeive therapy directed at correcting hypehermia, acidosis, and organ dysfunction.",Pharmacology,Central Nervous system
170064,a0a49f3a-6744-48ff-9661-0ecd2dcd6305,"A 22-year-old woman consults you for treatment of hirsutism. She is obese and has facial acne and hirsutism on her face and periareolar regions and a male escutcheon. Serum LH level is 35 mIU/mL and FSH is 9 mIU/mL. Androstenedione and testosterone levels are mildly elevated, but serum DHAS is normal. The patient does not wish to conceive at this time. Which of the following single agents is the most appropriate treatment of her condition?",Oral contraceptives,Corticosteroids,GnRH,Parlodel,0,single,"This patient has polycystic ovarian syndrome (PCOS), diagnosed by the clinical picture, abnormally high LH-to-FSH ratio (which should normally be approximately 1:1), and elevated androgen but normal DHAS. DHAS is a marker of adrenal androgen production; when normal, it essentially excludes adrenal sources of hyperandrogenism. Several medications have been used to treat hirsutism associated with PCOS. For many years contraceptives were the most frequently used agents; they can suppress hair growth in up to two-thirds of treated patients. They act by directly suppressing ovarian steroid production and increasing hepatic binding globulin production, which binds circulating hormone and lowers the concentration of metabolically active (free unbound) androgen. However, clinical improvement can take as long as 6 months to manifest. Other medications that have shown promise include medroxyprogesterone acetate, spironolactone, cimetidine, and GnRH agonists, which suppress ovarian steroid production. However, GnRH analogues are expensive and have been associated with significant bone demineralization after only 6 months of therapy in some patients. Surgical wedge resection is no longer considered an appropriate therapy for PCOS given the success of pharmacologic agents and the ovarian adhesions that were frequently associated with this surgery.",Gynaecology & Obstetrics,Physiology & Histology
170336,a2f2b032-1701-4e3d-9c16-29312f5c07a0,"A patient who was initially smear positive, who began the treatment and who remained or became smear positive again at five months or later during the course of treatment is called as",Defaulter,Failure case,Relapse,None of the above,1,multi,"Failure case: A patient who was initially smeared positive, who began Rx and who remained or became smear positive again at five months or later during the course of Rx. Relapse: A patient who returns sputum smear positive having previously been treated for tuberculosis and declared cured after the completion of his treatment. Return after default: A patient who returns sputum smear positive, after having left Rx for at least two months.",Social & Preventive Medicine,Communicable diseases
170381,f66dc075-7940-4ab1-aefe-eaca788c77c3,Which of the following radioisotopes is commonly used as a source for external beam radiotherapy in the treatment of cancer patients?,Strontium-89,Radium-226,Cobalt-59,Cobalt-60,3,single,Ans. Cobalt-60,Radiology,
170385,2d043eeb-a1c2-43c9-acb4-594b6e1c37df,Aspirin is contraindicated in a patient who is on treatment with:,Prednisolone,Warfarin,Theophylline,Oral contraceptives,1,single,"Aspirin can displace warfarin from protein binding sites elevating the free drug level, leading to prolongation of both bleeding time and prothrombin time. So it should not be used in patients on anticoagulation therapy due to increased risk of bleeding. Other drugs which were found to increase the level of warfarin are: Azapropazone Phenylbutazone Naproxen Mefenamic acid Ibuprofen Ref: Enzyme- and Transpoer-Based Drug-Drug Interactions: Progress and Future Challenges edited by K. Sandy Pang, page 656.",Pharmacology,
170478,5123e88a-4345-4e7e-a65c-dbba316c1d14,A 42 year old female P3 + 0 + 0 + 3 is found to have carcinoma in situ. Best treatment would be:,Hysterectomy,Weheim's hysterectomy,Conisation,Wait and Watch,0,single,Ans. is a i.e. Hysterectomy,Gynaecology & Obstetrics,
170605,8623b3a4-fac4-448b-aa30-90a907a1e4ac,Amphotericin B treatment mandates the monitoring of which of the following electrolytes -,Na+,Ca2+,Mg2+,None,2,multi,Ans. is `c i.e. Mg+2,Pharmacology,
170611,9be31908-3dd5-45a6-ba86-0bb33c9a1247,A man with diabetes insipidus has a glomerular filtration of 155 L/day. Which range most likely represents the upper limit for urine flow rate in this individual if he were not receiving treatment but had free access to water?,1 to 3 L/day,5 to 10 L/day,15 to 20 L/day,30 to 35 L/day,2,single,"Ans. C. 15 to 20 L/dayUrine flow rate in the absence of antidiuretic hormone (ADH) can approach approximately 10% to 13% of the glomerular filtration therefore, for a glomerular filtration of 155 L/day, urine flow could be as much as 15 to 20 L/ day. To maintain this level of urine flow, the individual must consume an equivalent amount of water per day.",Physiology,Kidneys and Body Fluids
170819,25d7fe2d-3344-464a-a058-fec949a7d49a,"A 66-year-old woman presents with a 6-month history of scaling and abnormal pigmentation of the skin. Her past medical history is significant for the treatment of thyroid cancer 1 year ago. Biopsy of lesional skin shows atrophy of the epidermis and dense fibrosis of the dermis, which displays dilated superficial blood vessels. These pathologic findings are most likely caused by previous exposure to which of the following?",Chemotherapy,Corticosteroids,Organic iodine,Radiation therapy,3,single,"Ionizing radiation administered for the treatment of cancer must first traverse the skin, leading to radiation dermatitis. Skin biopsy shows atrophy of the epidermis and dense fibrosis of the dermis, which displays dilated superficial blood vessels. In some cases, persistent ulcers require skin grafts. The other choices do not cause these dermal findings.Diagnosis: Radiation injury",Pathology,Environment & Nutritional Pathology
170987,654c01a9-5b41-497e-891e-fd31c07a1296,All are predictors of 5 day treatment failure in cirrhotic patients with variceal bleeding Except?,HVPG > 20 mm Hg,Child C status,Active bleeding at endoscopy,Prolonged prothrombin time,3,multi,The variables most consistently found to predict 5-day treatment failure are HVPG > 20 mm Hg Child-Pugh class C Active bleeding at endoscopy Ref:Journal of Hepatology 2010,Medicine,
171104,3e7b3276-5531-4eee-b302-5771fd7e2c74,"A patient with necrotizing pancreatitis undergoes CT guided aspiration, which results in growth of E-coli on culture. The most appropriate treatment is:",Culture appropriate antibiotic therapy,ERCP with sphincterotomy,CT guided placement of drain(s),Exploratory laparotomy,3,single,"Exploratory laparotomy The presence of secondary pancreatic infection suspected in patients whose systemic inflammatory response (fever, WBC count or organ dysfunction) fails to resolve, CT-guided aspiration of fluid from pancreatic bed for performance of Gram's stain & culture analysis is of critical impoance. A positive is Gram's stain or culture or identification of gas within pancreas on CT-scan, mandate operative intervention.",Surgery,
171124,f4f01706-9bc3-4e82-bdeb-e85b3ebe83e3,"A 30 yrs woman 2+0, hypeension have menorrhagia. Which is best treatment for her aEUR'",Combined pills,MIRENA,Hysterectomy,Transcervical resection of endometrium,1,single,"MIRENA [Ref- Dewhurst text book of Gynae & Obs 7/e p. 399-404; A Comprehensive textbook of Ohs & Gynae Saillma Gupta 140, 141, 1421 The question does not give any clue regarding the aetiology of menorrhagia, so most probably the women is having D.U.B. i.e., dysfunctional uterine bleeding. When a woman present with menorrhagia, consideration must first be given to diagnosis. This requires an appropriate history and clinical examination cotnplented by suitable investigation. Anemia should be detected by full blood count and iron studies. Ultrasonography, sonohysterography and hysteroscopy are additional investigations that may diagnose a structural problem and should be utilized depending on their availability and the experience of the surgeon. Common causes of menorrhagia include local pathology such as fibroids, polyps, adenomyosis or infection. Rarer, hut impoant causes include genital malignancy (cervical, endometrial or myometrial) and systemic disorders such as thyroid disease and bleeding disorders. In over 50% cases no cause is found and the diagnosis of dysfunctional uterine bleeding is made. Dysfunctional uterine bleeding requires the following criteria :- i) Complaint of excessive menstrual blood loss (menorrhgia). ii) Adequate exlusion of pathology that may otherwise cause menorrhagia. Dysfunctional uterine bleeding may be ovulatory or nonovulatory. - Anovulatory cycles results in menorrhagia with regular cycles where as - Ovulatory cycles results in menorrhagia with irregular cycles. Most of the cases of dysfunctional uterine bleeding are secondary to anovulation. - Without ovulation the corpus luteum,fails to .form resulting in no progesterone secretion. - In the absence of progesterone there is no lateral phase or the secretor), phase. - The anovulatory woman is always in the follicular phase of the ovarian cycle and in the proliferative phase of endometrial cycle. - The only ovarian steroidal signal the endometrium receives is through estrogen. - Continuous stimulation of endometrium by estrogen produces proliferation of the endometrium to abnormal levels where it becomes fragile without the growth limiting and organizing effect of progesterone. - The endometrium finally outgrows its blood supply and degenerates. The end result is asynchronous breakdown of the endometrial lining at different levels. We can conclude that bleeding in anovulatory cycle occurs due to unopposed action of estrogen in the absence of progesterone. Anovulatory menstrual cycle gives rise to irregular bleeding. On the other hand, ovulatory cycles give rise to regular menstrual bleeding. These patients ovulate regularly. These patients have both the phases of menstrual cycle i.e.,.follicular phase and the secretory phase. Research has shown that several abnormalities can occur in the endometrium of women with DUB's ovulary cycles for example increased fibrinolytic activity and increased production of prostaglandins. These observation provide the rational basis for treatment in these women i.e., - Antifibrinolytics Trenaximic acid - Prostaglandin inhibitor acid Management of dysfunctional uterine bleeding. In D.U.B's there is no specific abnormality present therefore the choice of t/t must be considered in relation to several factors : ? Factors influencing tit -Presence of ovulatory or anovulatory cycles. - Need ,for contraception - Patient preference - Contraindication to t/t Heavy periods Require contraception No Regular cycles Yes .L Dysmenorrhoea significant symptoms No.L Tranexanic acid Yes No Yes Combined oral contraceptive or levonorgestral releasing intrauterine system Combined oral contraceptives or cyclical progestins Non steroidal anti inflammatory drugs Medical treatment can be conveniently divided into hormonal and nonhormonal : ? -As there is no hormonal defect the use of hormonal therapy does not correct an underlying disorder but merely imposes and external control of the cycle. - The two main first line t/t for menorrhagias associated with ovulatory cycles are non hormonal as the ovulatory cycles usually have no defect in menstrual cycle. - They have normal menstruation and regular cycle the abnormality usually lies in increased fibrinolysis and increased production of prostaglandin. First line drugs in ovulatory cycles (menorrhagia with regular cycles) - Antifibrinolytice (Trenaxamic acid) - NSAIDSQ Trenaxamic acid reduces menstrual loss by half and NSAID reduces it by one third. Both have the advantages of only being taken during menstruation, and aid to compliance and are paicularly useful in those women who either do not require contraception or do not wish to use a hormonal therapy. They are also of value in treating excessive menstrual blood loss associated with the use of non hormonal intrauterine contraceptive device. Hormonal therapy Progesterone Traditionally hormonal therapy for menorrhagia has been progesterone given during luteal phase of the cycle. Normally progesterone therapy will control anovulatory bleeding once uterine pathology is excluded. In women who do not ovulate but are more frankly hypogonadal cyclic progesterone therapy restores the normal sequence of steroid hormone stimulation, estrogen followed by estrogen plus progesterone followed by withdrawal bleeding. Progestins are usually not effective. Despite this they remain the first choice of many general practioners and gynaecologists. Progesterones are effective when given for 21 days in each cycle but the side effects are such that patient may not choose to continue with the t/t. Although progestins have contraceptive effect but they are not the best choice when contraception required. Combined contraceptive pill They are popular first line drugs for women who desire contraception. OCP's suppress pituitary gonadotropin release preventing ovulation. Like cyclical progestins they are useful for anovulatory bleeding as they impose a cycle. Levonorgesteral intrauterine system (MIRENA) It is a T shaped intrauterine device which releases levornorgestral at the rate of 20 mcg daily. This low hormone minimizes the systemic progestinic side effects and more patients will continue this therapy than cyclic progesterones. It exes its clinical effect by preventing endometrial proliferation and consequently reduces both the duration of bleeding and the amount of menstrual loss. The levonorgestral releasing system is also advocated as an alternative to surgery. Levonorgestrel-IUD versus surgical treatments A cost-utility model study from Hong Kong repoed that over a period of five years, treatment with the LNG-IUD compared with oral medical treatment, endometrial ablation, or hysterectomy was less expensive and accrued more quality adjusted life years. It is impoant to note that cost-utility calculations may vary in different health care settings. Endometrial ablation Vs Levonorgestrol IVD For women who wish to stop using chronic medical therapy or have contraindications to medications, minimally invasive options include the LNG-IUD or endometrial ablation. A systematic review of six randomized trials and a subsequent randomized trial:found that women with menorrhagia who were treated with either the LNG-IUD or endometrial ablation had similar reductions in menstrual blood loss at 6, 12, and 24 months, as well as similar improvements in quality of life. A meta-analysis of four randomized trials found that rates of dissatisfaction were similar for women treated with the LNG-IUD (17 percent) compared with endometrial ablation (18 percent) (OR 0.9, 95% CI 0.5-1.8). The decision to use the LNG-IUD or endometrial ablation depends upon a patient's preferences regarding treatment factors such as plans:for:feility and contraception, convenience, and risks of anesthesia. - The LNG-IUD is a reversible contraceptive. Pregnancy is contraindicated after endometrial ablation, but the procedure does not prevent pregnancy; thus, women will need to continue to use contraception following ablation. The LNG-IUD can be placed in an office setting for all women and requires no or local anesthesia. Endometrial ablation can also be done in an office by surgeons who are appropriately equipped, but is often performed in an operating room under general anesthesia. If successful, endometrial ablation is performed once, while the LNG-IUD needs to be replaced every live.",Gynaecology & Obstetrics,
171360,3f996dd3-1cd3-495c-9de6-2e110978fd48,"In a clinical trial, blood pressure was measured in a group of patients before and after treatment, which of the following tests will be suitable as a test of significance:",Paired t-test,Mann-Whitney U test,Student t-test,ANOVA,0,single,"Ans. A. Paired t-testUnpaired t-test (aka Students test) compares two different subjects. The paired t-test reduces intersubject variability (because it makes comparisons between the same subject), and thus is theoretically more powerful than the unpaired t-test.In our case, we are analyzing the same subject twice (that is before and after).",Social & Preventive Medicine,Biostatistics
171383,ec5294be-01e7-4b56-a8da-87f9b015aee2,"A 28-year-old G1P0 at 32 weeks gestation present with itchy, erythematous papules on the extensor surfaces and trunk. . No history of fever or use of new creams or lotion was given. What is first line treatment for this condition?",Antibiotic therapy,Antivirals and termination of pregnancy,Topical steroids and oral antihistamines,Oral steroids,2,single,"This lesion isPruritic uicarial papules and plaques of pregnancy (PUPPP) or prurigo pf pregnancy. Characterized by 5- to 10-mm, itchy, erythematous papules or nodules commonly found on the extensor surfaces and trunk Prurigo of pregnancy resolves after delivery of the baby. However, resolution can take as long as several weeks to months post-paum 1st line treatment is oral antihistamines and topical coicosteroids",Gynaecology & Obstetrics,Medical Illness Complicating Pregnancy
171441,32686660-bd52-4bdf-94b7-9e68adf4cdd3,A patient presenting with painful Myositis Ossificans around Elbow. What should be the preferred treatment option in this case?,Active mobilization,Passive mobilization,Infra-Red Therapy,Immobilization,3,multi,"Ans. D. Immobilization* Treatment of myositis ossificans (MO): when MO is active, immobilization is the best treatment & any attempt at removal of the mass is hazardous.* When silent and ALP/ESR levels are normal, it can safely be removed (generally after 1.5 years) if causing block in movements.* Indomethacin/low dose radiation/bisphosphonates can be given prophylactically in high risk patients to prevent MO formation.",Orthopaedics,Miscellaneous
171509,3b5a9738-271e-46f3-bf9c-c8578fd9db4e,"For a 8 year old child with TMJ ankylosis, the treatment of choice is",Gap arthroplasty,Condylectomy,Gap arthroplasty with costochondral grafting,Treatment not required,2,single,,Surgery,
171696,327b5356-75d4-4919-a1eb-19e55b050dfd,Propranolol should not be given to a patient on treatment with which of the following drug ?,Nifedipine,Nitrates,ACE inhibitors,Verapamil,3,single,,Pharmacology,
171729,08edb059-cc9a-4ae2-9003-459d0e01a442,A 42 year old female patient has abnormal uterine bleeding with mild atypical hyperplasia of endometrium. The treatment of choice is :,Oral contraceptive pills,Progesterone,Total hysterectomy,Oestrogens,2,single,Total hysterectomy,Gynaecology & Obstetrics,
172010,541c386e-2b8e-4719-a842-1ce908dce804,A patient who underwent surgery for stage IA grade 3 Ca endometrium was brought to you for postoperative adjuvant therapy. What is the preferred mode of treatment in the above mentioned case?,External pelvic radiation,External field radiation,Vaginal brachytherapy,Observation,2,multi,"The postoperative adjuvant therapy for different stages of Ca endometrium is given below Stages Adjuvant therapy Stage IA, G1, G2 Observation Stage IA, G3 Vaginal brachytherapy Stage IB, G1, G2, G3 & Stage II, Stage III A ,B, C1, G1, G2, G3 External pelvic radiation + vaginal brachytherapy Stage III ,C2, G1, G2, G3 Extended field radiation + Vaginal brachytherapy Stage IV Whole abdominal radiation + pelvic radiation + Vaginal brachytherapy Ref: Essentials of Gynaecology by Lakshmi Seshadri, Edition 1, page - 414.",Gynaecology & Obstetrics,
172073,28936911-0998-4fa2-a9c3-972849383a12,A patient presents with acute anterior wall infarction and hypotension. Which will be the immediate treatment modality for this patient?,Intra aoic balloon counter pulsation,Anticoagulation,Thrombolytic therapy,Angiography and Primary angioplasty,3,multi,"Within the first 12 hours of MI, immediate coronary angiography and primary percutaneous intervention is the treatment of choice for patients presenting with ST elevated MI. Ref: Harrison's Principles of Internal Medicine, 16th Edition, Page 1453 & 1460; 17th Edition, Page 1537; Davidson's Principles and Practice of Medicine, 20th Edition, Chapter 18, Page 594.",Medicine,
172180,7ce09486-c18f-4ba7-a318-22d3307df61d,"If patient is on follow up with you, after a enucleating of an painful blind eye. After you enucleating the eyeball, a proper sized aificial prosthetic why is advanced after an post operative treatment",About 10 days,About 20 days,6-8 week,12 -24 weeks,0,multi,"After enucleation, we put orbital implants. We wait for the inflammation to subside 1.e around 10 days. If hudroxyappatite implant is to be put, it can even be done on same sitting Refer khurana 6/e p 420",Ophthalmology,"Diseases of orbit, Lids and lacrimal apparatus"
172365,df8b23a7-68c2-4681-a9b6-0e81c5dd6f5d,What is the treatment of choice for myoclonic epilepsy in children -,Phenytoin,Phenobarbitone,Sodium valproate,Ethosuximide,2,single,"Ans. is 'c' i.e., Sodium valporate DOC for myoclonic epilepsy is valproic acid.",Pharmacology,
172467,806ef9e2-1026-46c8-9d05-bf0378225ef3,"A 20-year-old female presented with complaints of nausea, vomiting and pain in the legs. Her physical examination and lab investigations are normal. Still she persistently request for investigations and treatment despite repeated assurance by her doctor. What would be the most probable diagnosis: September 2012",Generalized anxiety disorder,Conversion disorder,Somatiform pain disorder,Somatisation disorder,2,single,"Ans. C i.e. Somatisatic 7 disorder Somati3ation disorder Patient presents with multiple physical complaints (referable to different organ systems), Formal diagnostic criteria require the recording of at least 4 pains: - 2 gastrointestinal, - 1 sexual and - 1 pseudo-neurologic symptom",Psychiatry,
172638,351fd3dd-58da-40d7-a214-6025684ff8e2,"Treatment of supraventricular tachycardia with hypotension in a patient under general anaesthesia, inludes all of the following treatments, EXCEPT:",Carotid sinus massage,Adenosine 3-12 mg IV,Direct current cardioversion,Verapamil 5 mg IV,3,multi,"When the patient is hemodynamically unstable DC shock can be given, adenosine is also safe if the patient has no history of asthma and has no AV block. Carotid sinus massage is also effective in most cases. If the patient has no hypotension, verapamil can be given if the patient is stable. But in this case it may aggravate the hypotension and depress ventricular function since the anesthetic itself may cause myocardial depression. Ref: Emergency Management of The Pediatric Patient: Cases, Algorithms, Evidence By Kimball A. Prentiss, Page17 ; Clinical Manual of Emergency Pediatrics By Ellen F. Crain, 5th Edition, Page 44 ; In A Page Medicine By Scott Kahan, 2nd Edition, Pages 37-39",Anaesthesia,
172832,2e68a778-d1ca-4b97-95d4-3eff0a883076,A male 45 year old presents to the clinic for routine checkup. He is a known case of hypertension and is under treatment. The clinician advises him to have a balanced diet involving which of the following fatty acids?,ω3 fatty acids,ω6 fatty acids,ω9 fatty acids,Fatty acids need not be taken at all,0,multi,"Long chain ω3 fatty acids such as alpha-linolenic (ALA) (found in plant oils), eicosapentaenoic (EPA) (found in fish oil) and docosahexaenoic (DHA) (found in fish and algal oils) have anti-inflammatory  effects, perhaps due to their effects in promoting the synthesis of less inflammatory prostaglandins and leukotrienes as compared to ω6 fatty acids. In view of this their potential use as a therapy in severe chronic disease, where inflammation is a contributory cause is under intensive investigation. Current evidence suggests that diets rich in ω3 fatty acids are beneficial, particularly for cardiovascular disease, but also for other chronic degenerative diseases such as cancer, rheumatoid arthritis, and Alzheimer disease.",Biochemistry,
172848,58d7a603-4092-4a36-88b0-80c08055aa4d,"A 17 year old girl had been taking a drug for treatment of acne for the last 2 years, which has lead to pigmentation. Which drug could it be?",Doxycycline,Minocycline,Azithromycin,Chlorpromazine,1,single,"Minocycline is most commonly used for acne among tetracyclines The main effect of Minocycline- Hypersensitivity, Skin rashes, uicaria, glossitis, pruritus ani Complete cross-sensitization is exhibited by different tetracyclines. tetracyclines also cause Superinfection -They cause marked suppression of the resident flora. Though mouth, skin or vagina may be involved, intestinal superinfection by Candida albicans is most prominent The tetracycline should be discontinued at the first sign of superinfection and appropriate therapy instituted. Doxycycline and minocycline are less liable to cause diarrhoea, because only small amounts reach the lower bowel in the active form. ESSENTIALS of medical PHARMACOLOGY SEVENTH EDITION-KD TRIPATHI Page:735,736,737",Pharmacology,Other topics and Adverse effects
172859,1c54bb92-91e3-4550-9028-535454a1cc68,Which type of gout is seen in a patient who is on treatment of CML?,Secondary gout,Pseudogout,Acute gout,Primary gout,0,single,"Secondary gout is related to medications or conditions that cause hyperuricemia, such as the Myeloproliferative diseases or their treatment. Causes of secondary gout: Lymphoproliferative/myeloproliferative disorders Chronic hemolytic anemias Secondary polycythemia Severe exfoliative psoriasis Gaucher's disease Cytotoxic drug High purine diet",Anatomy,FMGE 2019
173144,a13d6378-cc48-4db1-84a7-4ae3fd8934b3,"A 40-year-old primiparous woman suspected to be suffering from endometriosis is subjected to diagnostic laparoscopy. Findings indicate - uterus normal, both the ovaries show presence of chocolate cysts; endometriotic deposits are seen on the round ligament right side, both the fallopian tubes and the pouch of Douglas; moderately dense adhesions are present between the fallopian tubes and the pouch of Douglas. The treatment of choice in this case is",Total hysterectomy with bilateral salpingo-oophorectomy,Fulguration of endometriotic deposits,Progesterone therapy,Danazol therapy,1,multi,"Surgery indications

Severe symptoms unresponsive to hormone therapy
Severe and deeply infiltrating endometriosis which distort pelvic anatomy
Endometriomas > 4cms

Laparoscopy is done to destroy endometriotic lesions by excision or ablation or electrodiatherapy,or laser vaporization. Conservative surgical treatment improves fertility outcome.",Gynaecology & Obstetrics,
173491,b18afa5e-1de4-4ed6-b52e-50ecbf8abda9,A 41 year old obese female patient comes with acute abdominal pain in the right hypogastrium. USG examination shows a stone in the common bile duct. Which is the treatment of choice for stone in CBD?,Observation,Chenodeoxycholic acid,Endoscopic sphincterotomy,Antibiotics,2,single,"A gallstone in the common bile duct may impact distally in the ampulla of Vater. More than 80% of gallstones contain cholesterol as their major component. If surgical removal of common bile duct stones is not immediately feasible, endoscopic retrograde sphincterotomy can be used. In this procedure, the endoscopist cannulates the bile duct the papilla of Vater. Endoscopic retrograde sphincterotomy is especially useful in patients who are critically ill with ascending cholangitis caused by impaction of a gallstone in the ampulla of Vater. A T tube is left in the duct after the procedure.",Surgery,
173533,d2d5e575-5957-424d-a7c2-ba4c9369e14e,A patient using a contact lens develops a corneal infection. Laboratory diagnosis of acanthamoeba keratitis was established. The following is the best drug for treatment –,Propamidine,Neosporine,Ketoconazole,Polyhexamethylene biguanide,3,single,"PHMD is the drug of choice. Chlorhexidene is an alternative

""Treatment with PHMB or chlorhexidene is often combined with propamidine and neomycine"". — Infections of eye",Ophthalmology,
174032,a1624d38-9b55-4d7b-bf90-f757c26fc061,Apexification is the treatment of choice for a permanent tooth with wide open apex when:,The pulp is necrotic,The pulp is vital,The pulp and root canals are calcified,There is traumatic pulp exposure during cavity preparation,0,single,"Apexification is the process of inducing the development of the root and the apical closure in an immature pulpless tooth with an open apex.
The main aim of apexification is to preserve the Hertwig’s root sheath and apical pulp tissue.

Ref :Textbook of endodontics, Nisha Garg and Amit Garg, 3rd edition, pg no:548",Dental,
174086,be1c7d7a-a00e-495d-be7b-5dab4653b2df,"A patient, Rama was diagnosed to be having febrile convulsions in the paediatric emergency. Which of the following can be used for the treatment of this patient?",Intramuscular phenobarbitone,Intravenous phenytoin,Rectal diazepam,Oral sodium valproate,2,single,"Diazepam is the drug of choice for febrile convulsions. It is administered intravenously. If i.v. access is not possible, rectal diazepam can be used. Diazepam can be given to counter the overdose of local anesthetic drug",Pharmacology,Epilepsy
174297,5c54792f-89f0-40ac-81c0-b34dd9f7c168,"A 20-year-old woman presents with a 4-week history of dry mouth, fatigue, fever, and yellow sclerae. Physical examination shows mild jaundice and hepatomegaly Serum total bilirubin is 3.3 mg/dL. Serologic markers for viral hepatitis are negative. The anti-mitochondrial antibody test is negative. A liver biopsy discloses parenchymal and periportal inflammatory cell infiltrates composed primarily of lymphocytes and plasma cells. The patient's signs and symptoms abate following 2 months of treatment with steroids. Which of the following is the most likely diagnosis?",Autoimmune hepatitis,Extrahepatic jaundice,Primary biliary cirrhosis,Primary sclerosing cholangitis,0,single,"Autoimmune hepatitis is a type of chronic hepatitis, which is associated with circulating autoantibodies (e.g., antinuclear antibodies) and high levels of serum immunoglobulins. The disease typically affects young women but occasionally afflicts older women and men. It is often accompanied by other autoimmune diseases (e.g., Sjogren syndrome, systemic lupus erythematosus). None of the other choices respond to steroids. Primary biliary cirrhosis (choice C) features anti-mitochondrial antibodies. Primary biliary cirrhosis (choice C) and primary sclerosing cholangitis (choice D) do not manifest the described histologic findings.Diagnosis: Autoimmune hepatitis",Pathology,Liver & Biliary Tract
174426,fa1ed43c-8ec3-4603-921a-40bf372fd410,Which of the following drug is not the first line treatment for anovulatory abnormal uterine bleeding in a 13-year-old girl?,Tranexemic acid,Mefenamic acid,Progesterone,Estrogen + progesterone,1,single,Ans. b. Mefenamic acid,Gynaecology & Obstetrics,
174464,5e70090c-42a6-4b29-a5f1-588135109036,"An 8-month-old infant had stridor with respiratory difficulty which worsened on crying. On examination, laryngoscopy showed a red mass in the subglottic area. All the following are used in the treatment EXCEPT",CO 2 laser vaporization,Coicosteroids,Tracheostomy,Radiotherapy,3,multi,"History and examination suggest diagnosis is juvenile papilloma - They are viral in origin and multiple, often involving infants and young children. * They are mostly seen on the true and false cords and the epiglottis, glistening white, irregular growth, pedunculated * Or sessile, friable and bleeding easily",Surgery,
174552,e7339d15-f4f7-4ecf-8113-ea6272485cbd,A female developed ovarian hyperstimulation syndrome during the treatment of infeility. What is the MOST common cause of ovarian hyperstimulation?,FSH/LH therapy,GnRH drugs,Clomiphene,Danazol,0,single,"Ovarian hyperstimulation syndrome (OHSS): It is a clinical symptom complex associated with ovarian enlargement resulting from exogenous gonadotropin therapy. Symptoms may include abdominal pain and distension, ascitis, gastrointestinal problems, respiratory compromise, oliguria, hemoconcentration, and thromboembolism. These symptoms may develop during ovulation induction or in early pregnancies that were conceived through exogenous ovarian stimulation. Ref: Hoffman B.L., Schorge J.O., Schaffer J.I., Halvorson L.M., Bradshaw K.D., Cunningham F.G., Calver L.E. (2012). Chapter 20. Treatment of the Infeile Couple. In B.L. Hoffman, J.O. Schorge, J.I. Schaffer, L.M. Halvorson, K.D. Bradshaw, F.G. Cunningham, L.E. Calver (Eds), Williams Gynecology, 2e.",Gynaecology & Obstetrics,
