,id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name,llm_label,llm_reason
6139,9baaf905-03ff-4613-b07b-0b6217959123,Drug used in the treatment of CAH in a child is:,Dexamethasone,Betamethasone,Prednisolone,Hydrocortisone,3,single,"d. Hydrocortisone(Ref: Nelson's 20/e p 2719)Treatment of CAH (21 hydroxylase deficiency) involves use of Hydrocortisone 15-20mg/m2/24hr, administered orally in 3 divided doses. Double or triple doses are indicated during periods of stress, such as infection or surgery.",Pediatrics,Endocrinology,True,The question can be answered with a specific drug without needing to see options.
6144,dc3e6664-a961-4c50-848f-8fe60217f995,2 year old baby having testicular lump. Increased AFP diagnosis -,Yolk sac tumor,Seminoma,Choriocarcinoma,Teratoma,0,single,"Ans. is 'a' i.e., Yolk sac tumor o Germ cell tumor (GCT) include -SeminomaEmbryonal carcinomaChoriocarcinomaYolk sac tumorTeratomao All GCT except teratoma are malignant (in children),o MC GCT in children is benign teratoma,o MC malignant GCT in children is yolk sac tumor,o Tumor marker is important for evaluation,o [31 ICG and AF P are important marker,o AFP elevated is 90% of yolk sac tumor.o Elevated AFP in a child over I year with tests tumor almost always reflect yolk sac tumor.",Pediatrics,Childhood Tumors,True,"The question asks for a diagnosis related to a specific medical condition and a laboratory finding, which can be answered without options."
6147,f10d8674-fec4-4956-bb0a-bca6737b9801,"A 41-year-old woman with one healthy child presents with a 3-year history of an inability to conceive despite normal menstrual cycles. A biphasic basal body temperature cha is recorded. She denies having any sexually transmitted disease, and a hysterosalpingogram shows patent uterine tubes and a normal uterine cavity. Her husbands semen analysis is normal. In the presence of several normal test results for infeility, a laparoscopic examination of the pelvic cavity is scheduled. The physician performing the procedure carefully places the trocar lateral to the rectus abdominis muscle and its sheath to avoid injury to a major aery. What aery is being avoided?",Superior epigastric aery,Inferior epigastric aery,Superficial epigastric aery,Superficial circumflex iliac aery,1,multi,"The presence of several normal test results indicates a need to rule out endometriosis in this infeile couple. This tissue responds to a woman's hormonal cycles in the same way that the lining of the uterus responds. The aeries, their companion veins, and the nerves supplying the muscles of anterior abdominal wall are all found in the interval between the internal abdominal oblique and the transverses abdominis muscles (neurovascular plane). Superficial and deep circumflex iliac aeries arise from the femoral and external iliac aeries course parallel to the inguinal ligament and supply the inferior abdominal wall in the inguinal region. The superficial epigastric aeries lie in the superficial fascia between the umbilicus and the pubic bone. The internal thoracic aeries divide into two terminal branches: the superior epigastric and musculophrenic aeries.",Anatomy,Integrated QBank,True,The question can be answered based on the knowledge of anatomy related to the surgical procedure without needing options.
6148,e7eb4966-860c-4cda-9f09-698e382b6be9,"A patient has small, oval multiple ulcers in oral cavity with red erythematous margins. The diagnosis is ?",Carcinoma,Aphthous ulcer,Tubercular ulcer,Syphilitic ulcer,1,multi,"Ans. is 'b' i.e., Aphthous ulcer Aphthous ulcers They are painful, recurrent, superficial ulcers, usually involving movable mucosa, i.e. inner surfaces of lips buccal mucosa, tongue, floor of mouth and soft palate while sparing mucosa of the hard palate and gingivae. It has 2 forms - minor & major In the minor form, which is more common, ulcers are 2-10 mm in size and multiple with a central necrotic area and a red halo. They heal in about 2 weeks without leaving a scar. In the major form, ulcer is very big 2-4 cm in size, and heals with a scar, but is soon followed by another ulcer. Other options Carcinomatous ulcer --> Usually single, Painless initially (painful in advanced stages) Tuberculosis --> Ulcer are shallow, often multiple with slightly undermined margin. It is painful when seen on ant. 2/3 of the tongue. Syphilitic ulcer --> Painless ulcer with induration.",Surgery,,True,The question describes clinical findings that can be associated with a diagnosis without referencing specific options.
6149,603a95fa-667d-4593-a339-9da76940c1ab,Comment on the possible diagnosis in the patient?,Tricuspid regurgitation,Aoic regurgitation,Mitral regurgitation,Cor-triatriatum,0,single,Visible neck pulsations indicating elevated JVP. Choice C and D are ruled out as they are left sided lesions and usually do not lead to changes in JVP. The confusion can be with dancing carotids of aoic regurgitation versus giant CV waves of Tricuspid JVP. The dancing carotid produces an outward displacement and does not sta from base of neck unlike the video shown in the image.,Medicine,Murmurs,True,The question is seeking a general comment on the diagnosis without referencing specific options.
6152,5b41d9ad-cf32-486a-8945-f6a91b461e78,A 32 year old male patient comes to OPD with persistent acne scars. there is history of Obsessive Compulsive disorder . what can be the probable diagnosis?,Acne conglobata,Acne mechanica,Acne fulminans,Acne excoriee,3,single,"Acne excoriee Type of acne that occurs when the affected individual picks at the acne lesions. Most often seen in teen girls. The picking exacerbates the acne and causes scars; Scarring leads to more acne and, ultimately, more picking. Acne conglobata Highly inflammatory disease presenting with comedones, nodules, abscesses, and draining sinus tracts. Begins between the ages of 18 and 30. Usually persists for a very long time. Acne mechanica Form of acne which is especially common in athletes, students, and soldiers. Triggered by excess heat, pressure, friction or rubbing of the skin. Develop anywhere on the face or body. Acne fulminans Rare skin disorder presenting as an acute, painful, ulcerating, and hemorrhagic clinical form of acne. Bone lesions and laboratory abnormalities.",Dental,Disorders of sebaceous and sweat glands,True,The question can be answered based on the information provided without needing options.
6154,185cd7b8-086f-430e-a628-df4049b03029,Plain radiograph of a patient with chronic abdominal pain is given. What could be the probable diagnosis?,Pneumoperitoneum,Pancreatitis,Hemoperitoneum,Acute Appendicitis,1,single,Chronic alcoholic with recurrent and long standing pain abdnomen might have dystrophic calcification over the residual pancreatic tissue. The following image shows calcification of pancreas. Figure: CALCIFICATION OF PANCREAS: Chronic pancreatitis.,Radiology,Gastrointestinal Radiology,True,The question can be answered based on medical knowledge without reference to specific options.
6156,9cd4a9f8-db3a-4dab-b519-2e6b05091f15,"A 50 yr old male presented with history of hematemesis - 500 ml of blood and on examination shows BP - 90/60, PR - 110/min and splenomegaly 5 below lower costal margin. Most probable diagnosis is",Mallory Weiss tear,Duodenal ulcer,Gastritis,Poal hypeension,3,multi,Ans. is 'd' i.e. Poal hypeension,Surgery,,True,The question provides sufficient clinical information to deduce a probable diagnosis without needing options.
6158,abd4102c-4ba8-45f2-ba7d-df4664133cfa,A 15-year-old girl c/o failure to attain menarche. Her height is 4 feet. She has not yet developed secondary sexual characteristics. If USG shows uterus and vagina. FSH and LH levels are high. What is the best step in confirming the diagnosis?,Perform a CT,Perform a Karyotype,Perform a buccal smear,Perform progesterone withdrawal test,1,multi,"Ans. is b, i.e. Perform a karyotype1st step in primary amenorrhea is to identify the site of lesion by doing Hormonal profileIn question : LH and FSH are highUSG: shows uterus and vagina are presentPt has short height (4 feet)No secondary sexual characteristicsNow since LH and FSH are high and estrogen is low (as secondary sexual characteristics are absent)[?] It is a case of hypergonadotropic hypogonadism --so most probably it is Turners syndrome. This can be confirmed by doing karyotyping.Always remember in Primary amenorrhea1st Test: Hormonal ProfileBest Test: Karyotyping",Gynaecology & Obstetrics,Disorders in Menstruation,True,The question provides sufficient clinical details to deduce the best step in confirming the diagnosis without needing options.
6160,daf89075-180b-4e5b-a9d8-dff4f383970b,A 44-year-old man with a history of chronic bronchitis is admitted with severe shoness of breath and left-sided chest pain. CXR is shown in. EKG shows left ventricular strain.What is the most likely diagnosis to explain the symptoms?,Pneumothorax,COPD,Bulla,Subendocardial infarct,0,single,"This is a PA, slightly lordotic chest film, although there is some failure to fully abduct the scapula. The left hemithorax is markedly hyperlucent; there is some widening of the interspaces with a depressed diaphragm and air under the hea shadow. There is a large bandlike shadow extending from the apex of the left lung down to the bottom of the hea with silhouetting of the left cardiac border. This represents a total lung collapse with atelectasis; however, some of the air totally surrounds the lung with hyperlucency around the aoic knob. Most pneumothoraces usually show a sharp edge differentiating the free air in the pleural space from the normal pulmonary parenchyma, with a line representing the pleural surfaces. In this paicular case, because of marked collapse with circumferential air, one does not see the sharp line and observes bilateral edges, i.e., differences in contrast between a more radiodense and radiolucent back-ground. The very sharp edge along the left hea border represents the contrast between the collapsed lung and the pleural space and is called the visceral pleural line. The chest wall appears irregular along the level of lateral 6th to 7th ribs, probably representing a rib fracture. The acute onset of severe shoness of breath and left-sided chest pain suggests concurrent pleural disease as pa of the differential diagnosis. This is confirmed by the chest x-ray showing a left-sided pneumothorax. Patients with COPD and/or bullous disease have chronic symptoms. With an acute exacerbation of COPD, the chest x-ray is helpful in distinguishing a pneumothorax vs. pneumonia. On physical exam, patients with pneumothorax present with absent breath sounds and hyperresonance on the side of the pneumothorax. The other physical findings mentioned are not characteristic of pneumothorax. Management of a symptomatic patient with a large pneumothorax is by inseion of a chest tube.",Radiology,Respiratory system,True,The question can be answered based on the clinical scenario without needing specific options.
6161,a9d4afbb-9e61-4b7e-8207-e8b25cfe2756,"27 year old man oh his trip to Hawai consumes an exotic food for the first time . Just after consuming he developed intense pruritis, swelling of face & lips, shoness of breath, vomiting. What could be most likely diagnosis?",Steakhouse Syndrome,Angioneurotic edema,Anaphylaxis,Myocardial infarction,2,single,"The given clinical scenario is of Anaphylaxis Anaphylaxis Serious allergic reaction that is rapid in onset & may cause death. Itchy rash, throat or tongue swelling, shoness of breath, vomiting , light headedness, Symptoms typically developon over minutes to hours. Steakhouse syndrome Mass of food becomes stuck on the way to the stomach. It gets stuck in oesophagus Angioneurotic edema : A genetic form of angioedema ; Lack an inhibitor protein (called C1 esterase inhibitor) that normally prevents activation of a cascade of proteins leading to the swelling of angioedema. Patients can develop recurrent attacks of swollen tissues, pain in the abdomen, and laryngeal edema which can compromise breathing. Myocardial infarction(MI) Occurs when blood flow decreases or stops to a pa of the hea, causing damage to the hea muscle. The most common symptom is chest pain or discomfo which may travel into the shoulder, arm, back, neck or jaw.",Dental,Eczema and related disorders,True,The question describes symptoms that can be directly linked to a diagnosis without requiring options.
6163,a6af1f9f-f9fa-43c8-906a-5e3e60c1c288,A 40 year old male presented to casualty with severe pain in the left upper abdomen radiating to groin. Urine routine shows 6-8 pus cells and 15-20 RBCs . CT scan was taken. What is the diagnosis?,Aoic Aneurysm,Acute cholecystitis,Left ureteric calculus,Acute Colitis,2,single,"A non-contrast CT clearly shows a calculus in the left upper ureter.Loin to groin pain, RBC in urine suppo the diagnosis.",Surgery,Urology,True,The question provides enough clinical information to determine the diagnosis without needing options.
6164,3f0d927a-460a-41be-874b-ba58aaa3fdf5,A patient presents with malignant hypehermia and metabolic acidosis. Immediate treatment should be staed with,Intravenous Dantrolene,Sodium bicarbonate,Intravenous fluids,Paracetamol,0,single,"IV dantrolene (1mg/kg repeated if required) is the life saving drug in malignant hypehermia. Oxygen inhalation, treatment of acidosis and immediate cooling of body may also help. Ref: KD Tripathi 8th ed.",Pharmacology,Central Nervous system,True,The question can be answered based on medical knowledge without needing specific options.
6170,8e4bb052-c7ce-4d8c-9b6f-8562c12c40d1,What is the treatment of choice in patients with congestive hea failure with ejection fraction < 40% and normal fluid levels achieved?,ACE inhibitors + Diuretics,ACE inhibitors+ Beta blockers,ACE inhibitors + ARBs,ACE inhibitors + CCBs,1,single,"The Drug of choice used in congestive hea failure with reduced ejection fraction is ACE inhibitors + diuretics. Once euvolumic status is achieved, ACE inhibitors+beta blockers are drugs of choice.",Medicine,Hea failure,True,The question can be answered based on medical knowledge without needing specific options.
6173,c8697096-b474-47a7-98ff-d617b97875ed,A child after consuming food in a pay complains of diarrhea within 1-5 hours. The diagnosis is ?,S. aureus,Streptococcus,Clostridium perfringens,Clostridium botulinum,0,single,"Ans. is 'a' i.e., S. aureus . Staphylococcal food poisoning occurs within 2-6 hrs after consuming contaminated food containing preformed toxin. . The only other cause of food poisoning presenting with in 4-6 hrs is Bacillus cereus.",Microbiology,,True,The question can be answered based on the information provided without needing options.
6176,ca6edb34-91f4-46f5-9efc-dc29951d96a7,A 4 year boy is complaining of pain around elbow with the hand held in pronation with extension. X ray of the elbow joint is normal. What is the most probable diagnosis?,Pulled elbow,Montegia fracture,Cellulitis,None of the above,0,multi,"Pulled elbow or Nursemaid elbow or Babysitter's elbow or radial head subluxation is most commonly occurs in children aged 1-4 years. The etiology is slippage of the head of the radius under the annular ligament. The distal attachment of the annular ligament covering the radial head is weaker in children than in adults, allowing it to be more easily torn. As children age, the annular ligament strengthens, making the condition less common. The oval shape of the proximal radius in cross-section contributes to this condition by offering a more acute angle posteriorly and laterally, with less resistance to slippage of the ligament when axial traction is applied to the extended and pronated forearm. The patient resists supination/pronation as well as flexion/extension of the forearm. Axial traction is the most common cause of nursemaid elbow. A fall is the second most common mechanism of injury. Infants have been repoed with nursemaid elbow after rolling over or being assisted to roll over. The Monteggia fracture is a fracture of the proximal third of the ulna with dislocation of the head of the radius.",Surgery,,True,The question can be answered based on the information provided without needing options.
6177,2c4cac73-1967-46ae-a586-185549de5c20,"A thiy five year old female has proximal weakness of muscles, ptosis and easy fatigability. The most sensitive test to suggest the diagnosis is.",Muscle Biopsy,CPK levels,Edrophonium test,EMG,2,single,"Tensilon test (edrophonium test) is a pharmacological test used for the diagnosis of ceain neural diseases, especially myasthenia gravis. It is also used to distinguish a myasthenic crisis from a cholinergic crisis in individuals undergoing treatment for myasthenia gravis 10 mg edrophonium hydrochloride syringe and a 2 mg atropine syringe are prepared. Atropine is prepared for immediate use in case cholinergic crisis occurs. After a neurologic examination and recording of vital signs, first 2 mg edrophonium is injected intravenously. After waiting 30 seconds and ensuring that no adverse reactions occurred, the remaining 8 mg of edrophonium is also injected. A patient suffering from myasthenia gravis experiences improvement in muscle strength and endurance with repetitive movements, while normal persons do not feel any difference. The effects of edrophonium lasts around 10 minutes. The edrophonium allows accumulation of acetylcholine (ACh) in the neuromuscular junctions, and makes more ACh available to the muscle receptors, thereby increasing muscle strength in myasthenia gravis. In newborns, a 0.15 mg/kg edrophonium administered subcutaneously produces a response within 10 minutes. In infants, the drug is administered intravenously at a dose of 0.2 mg/kg. Improvement of diplopia is often used as an evaluation item because in this case, placebo effect can be excluded Ref Harrison20th edition pg 2456",Medicine,C.N.S,True,"The question is about identifying a sensitive test for a medical condition based on the provided symptoms, without referring to options."
6178,45df4415-dde0-4c50-bf39-f876ce452b92,"A 3 year old child is presenting with drooping of upper lid since bih. On examination , the palpebral apeure height is 6 mm and with poor levator palpebrae superioris function. What is the procedure recommended",Frontalis Sling surgery,Mullerectomy,Fasanella Servat operation,Observation,0,single,"Ptosis: - * Ptosis or blepharoptosis ( Greek - to fall ) is the drooping of the upper eyelid to a level that covers more than 2mm of the superior cornea. Classification:- Congenital:- * Simple * Associated with Superior Rectus weakness * Associated with Marcus Gun Jaw Winking phenomenon Acquired:- * Neurogenic - III Cn palsy , Horner's syndrome * Myogenic - myasthenia gravis, ocular myopathy, senile * Mechanical - excess weight due to edema, tumors * Traumatic - trauma to levator palpebrae Management :- TREAT the systemic cause Mild Ptosis:- * Mullerectomy --> Muller muscle resection for 1mm ptosis ( HORNER'S SYNDROME) * Fasanella Servat operation -->simple tarsoconjunctival resection Moderate Ptosis:- * With fair - good levator function --> LEVATOR RESECTION Severe Ptosis with Poor Lps Function:- * BROW SUSPENSION / FRONTALIS SLING SURGERY where Lids are attached to the frontalis muscle with a silicon tube. So with the contraction of frontalis , lids elevate. Ref:- A K Khurana Comprehensive Ophthalmology 7th edition; pg num:- 395",Ophthalmology,"Diseases of orbit, Lids and lacrimal apparatus",True,"The question describes a clinical scenario and asks for a recommendation, which can be derived from medical knowledge without needing specific options."
6180,1dcdee22-950b-4f66-8238-f34a03a07b02,"A 30 year old male, Kallu, with a history of sexual exposure comes with a painless indurated ulcer over the penis with eveed margins. The diagnosis is ?",Syphilis,Chancroid,Lymphogranuloma venerum,Granuloma inguinale,0,multi,"Ans. is 'a' i.e., Syphilis Painless indurated ulcer with eveed margins, h/o of sexual exposure and lack of systemic symptoms ours the diagnosis of syphilis.",Microbiology,,True,The question can be answered based on the clinical description provided without needing options.
6182,4d242d1c-9c5e-4825-9e84-0ca6c216beac,"A 70 year old male , known case of chronic renal failure suffers from a pathological fracture of Rt femur, the diagnosis is",Primary Hrperparathyroidism,Secondary Hyperparathyroidism,Scurvy,Vitamin D Resistant rickets,1,single,Answer- B. Secondary HyperparathyroidismIn CRF there is secondary hyperparathyroidism which causes pathological fracture.,Surgery,,True,The question can be answered based on medical knowledge without referencing specific options.
6184,2e9c73ca-c7f8-4d62-bd6f-c73af5399688,A child with increased conjugated bilirubin develops seizures and cataract the probable diagnosis is –,Tyrosenemia,Fructosemia,Galactosemia,Glycogen storage disorder,2,single,,Pediatrics,,True,The question can be answered based on medical knowledge without needing specific options.
6185,ca37689f-9e92-4f5f-9036-9cfd62f1936c,"A 6-years-old child belonging to Punjabi family with past history of blood transfusions presented with hemoglobin 3.5 g/dl, MCV - 30 fl, MCHC - 20. Peripheral smear findings of microcytic hypochromic anemia with target cell and reduced osmotic fragility. What is the he probable diagnosis of patient?",Alpha thalassemia major,Beta thalassemia major,Sickle cell anemia,G6PD deficiency,1,single,"Comparing the given history & options one by one: Reduced values of MCV and MCHC: microcytic hypochromic anemia (G6PD deficiency is ruled out) 6 year old and Punjabi ethnicity, history of repeated blood transfusions- in our of thalassemia Osmotic fragility is reduced: in our of thalassemia again though it may be seen in sickle cell also Also, the hemoglobin level in the question is more suggestive of severe anemia with positive history of multiple blood transfusions both being impoant pointers towards thalassemia major. Please note that apa from Punjabis, other ethnic groups having high prevalence of thalassemia are Sindhis, Gujaratis, Parsis, Begalis and Lohanas.",Pathology,Beta thalasemmia,True,The question can be answered based on the provided medical details and does not reference options.
6186,59680a15-42a4-41e7-b804-ccf06cab06d4,"When the dental plaque is allowed to accumulate in the absence of any plaque control procedures, it results in gingivitis within",1 to 3 days,7 to 21 days,2 months to 3 months,24 hours to 48 hours,1,multi,,Dental,,True,The question can be answered based on general knowledge of dental hygiene.
6187,09680419-46c1-44d4-bc80-2091b940bac8,"A 40 year old male with history of RTA with multiple long bones fracture, develops tachypnoea, periumbilical rashes and has urinary fat globules, the most likely diagnosis is",Proximal urethral injury,Bladder injury,Bacterial pneumonitis,Fat embolism syndrome,3,single,,Orthopaedics,,True,The question is asking for a diagnosis based on the symptoms presented and does not reference options.
6188,afafd42c-a4ed-4799-a334-42c0ad47529f,"A 35-year-old nondiabetic, nonhypeensive individual to casualty with a sudden bursting headache and altered sensorium. What is the most likely diagnosis?",Meningitis,Encephalitis,Intracerebral hemorrhage,Intracranial tumor,2,single,"Harrison's textbook of internal medicine 17th edition...Davidson's principles and practice of Medicine 23 rd edition. *Hemorrhage usually presents as abrupt onset of focal neurological deficit and can be considered as a spectrum of symptoms from transient (TIA) to persistent(stroke).. *Deficit typically worsen steadily over 30 -90 min(if symptoms progress over hours and days ,other diagnoses must be excluded)it is associated with diminished level of consciousness ,signs of increased ICT-headache,vomiting ,prominent sensory deficit involving all modalities .",Medicine,C.N.S,True,The question can be answered based on the information given without needing specific options.
6189,0a2f495c-9875-4f8c-9ca1-83a248812e3c,"46 year old chronic alcoholic, one day after abstinence from alcohol comes to casualty presenting with restlessness, seizures, coarse tremors. He is not able to recognize the doctor, he think himself in a jail. He also complains uncontrolable fear of being murdered, insomnia and insects crawling over body, probable diagnosis is -",Alcoholic seizures (rum fits),Korsakoff's psychosis,Delirium tremens,Alcoholic hallucinosis,2,multi,Symptoms of delirium after alcohol withdrawal suggest the diagnosis of delirum tremens.,Psychiatry,,True,The question presents a clinical scenario that allows for the determination of a probable diagnosis without needing specific options.
6192,10f4c2a9-ce35-4656-b9f0-95de7aab14a4,A 69-year-old man is admitted to the emergency department with an acute UGI hemorrhage following a bout of repeated vomiting. Fiberoptic gastroscopy reveals three linear mucosal tears at the GE junction. What is the diagnosis?,Reflux esophagitis with ulceration,Barrett's esophagus,Carcinoma of the esophagus,Mallory-Weiss tear,3,multi,"A Mallory-Weiss tear is characterized by acute and sometimes massive UGI hemorrhage. It accounts for up to 10%. of UGI bleeds. It is due to arterial bleeding following repeated vomiting (which causes mucosal tears at the GE junction). The cause is the same as that for spontaneous rupture of the esophagus (i.e., an increase in intra-abdominal pressure against a closed glottis). Causes other than vomiting such as paroxysmal coughing or retching, may sometimes lead to this condition. Upper endoscopy confirms the diagnosis. Surgery may occasionally be necessary to stop the bleeding.",Surgery,Stomach & Duodenum,True,The question is direct and does not refer to multiple choice options.
6195,46678890-694f-4b55-850a-d7303ab21151,"A 70 yr old man presents with a h/o prosopagnosia, loss of memory, 3rd person hallucinations since 1 month. On examination deep tendon reflexes are increased, mini mental state examination score is 20/30. What is the most likely diagnosis?",Dissociated dementia,Schizophrenia,Depression,Coical dementia,3,multi,"Loss of memory is found in dementia in old age .Though there is 3rd person hallucination which can also be present in dementia depression mania but history of increase in deep tendon reflexes and MMSE score 20 or less, points towards dementia",Surgery,,True,The question can be answered based on the provided symptoms and examination results without referencing specific options.
6197,2c21a31a-89d3-4826-85f0-c1fa9d2b7252,After 3 days of fever patient developed maculo erythematous rash lasting for 48 hrs diagnosis is –,Fifth disease,Rubella,Measles,Roseola infantum,3,single,,Dental,,True,Question provides enough information for diagnosis without needing options.
6201,bd22b636-8a29-4ac9-b394-2c7c22ad2fce,A 20 year old male complains of recurrent attacks of sore throat since 2 years. The total leukocyte count was 1000/μl. A differential count revealed severe neutropenia. The diagnosis is:,Subleukemic leukemia,Infectious mononucleosis,Agranulocytosis,Leukoerythroblastic anemia,2,single,"A reduction in the number of granulocytes in blood is known as neutropenia or, when severe, agranulocytosis.
Neutropenic persons are susceptible to severe, potentially fatal bacterial and fungal infections. 
The risk of infection rises sharply as the neutrophil count falls below 500 cells/μL.

Kumar V, Abbas AK, Aster JC. Robbins basic pathology. Elsevier Health Sciences; 2017. Page 459",Pathology,,True,The question provides sufficient information for a diagnosis without needing options.
6202,1a54ce81-0fbe-4171-a02f-fd9182344736,A child presents with hepatomegaly and hypoglycemia. There is no improvement in blood sugar even after administration of epinephrine. What is the likely diagnosis –,Von girke's disease,Anderson's disease,Pompe's disease,Mc Ardle's disease,0,single,"Amongst the given options only Von Gierke's disease presents with hepatomegaly and hypoglycemia.

""A diagnosis of type I glycogen storage disease (Von Gierke's disease) should be suspected whenever there is hepatomegaly with hypoglycemia that is unresponsive to glucagon or epinephrine"".",Pediatrics,,True,The question can be answered based on the symptoms described without needing specific options.
6205,934cc55f-b337-46cf-af29-f670d6143d99,A patient presented to you with vaginal discharge. Whiff test was positive. What is the diagnosis?,Bacterial vaginosis,Candidal vaginitis,Gonococcal infection,Chlamydial infection,0,single,"Whiff positive - Bacterial vaginosis Gram staining - Diplococcus - Gonococci Gram staining - No organism - Chlamydial infection KOH mount - Yeast cells - Candida vaginitis Ref: Essentials of Gynaecology by Lakshmi Seshadri, Edition 1, page - 176.",Gynaecology & Obstetrics,,True,The question can be answered based on the provided information without needing to see options.
6206,82080fb8-9376-4c8e-bd14-05a3b5b9ee9a,"A 5 year old child presents with a red colored localized rash on his back. The dermatologist gave a diagnosis of Pityriasis rosea, and assured the mother that it is a self limiting disease and would resolve on its own. The mother is concerned, as it has already been 10 days, and the rash hasn't subsided. How long does the rash usually last for from the time of onset?",15 days,6 weeks,5 months,5 days,1,multi,Pityriasis rosea (PR) : The eruption tends to be moderately pruritic and lasts 6-12 weeks The herald patch is followed in a few days to a few weeks by the appearance of many smaller annular or papular lesions with a predilection to occur on the trunk.,Dental,Lichen planus and Other papulosquamous disorders,True,The question asks for information about the duration of the rash without referencing options.
6207,98bf8c0f-6852-4432-9e33-d73d862d81ac,"A girl has primary amenorrhea with normal ovaries, absent internal genitalia but normal external genitalia. Most probable diagnosis?",Mayer-Rokitansky-Kuster-Hausers- syndrome,Turner's syndrome,Noonan's,Androgen insensitivity syndrome,0,single,"Mayer Rokitansky Kuster Hauser's syndrome : karyotype is 46,XX Normal secondary sexual charecteristics Functional ovaries Normal hormonal profile Associated with skeletal and renal anomalies Management involves creation of a functional vagina for coital purposes and can become biological mother by surrogacy. SHAW'S TEXTBOOK OF GYNAECOLOGY,Pg no:286,15th edition",Gynaecology & Obstetrics,Sexuality and intersexuality,True,The question can be answered based on the information provided without the need for options.
6209,c0800fac-c24c-4900-adf0-ffd62156a992,"A 30-year-old woman with family history of hearing loss from mother's side developed hearing problem during pregnancy. Hearing loss is B/L, slowly progressive. Pure tone audiometry shows an apparent bone conduction hearing loss at 2000 Hz. What is the most likely diagnosis:",Otosclerosis,Acoustic neuroma,Otitis media with effusion,Sigmoid sinus thrombosis,0,single,"(a) Otosclerosis(Ref. Cummings, 6th ed., 2211)30-yr-old woman with family history of hearing loss, presenting with B/L hearing loss during pregnancy, pure tone audiometry showing an apparent bone conduction hearing loss at 2000Hz, i.e. Carhartz notch is diagnostic of otosclerosis.Acoustic neuroma is seen in the age group of 40-70 yrs and presents with U/L SN hearing loss and tinnitus.Otitis media with effusion or glue ear is seen most commonly in children and presents with B/L conductive hearing loss. Tympanic membrane here is dull retracted with fluid level and air bubbles seen behind.Sigmoid sinus thrombosis is a complication of unsafe CSOM and presents with hectic fever, jugular vein area tenderness, oedema of the mastoid and features of unsafe CSOM, i.e. ear discharge, cholesteatoma, and hearing loss.",ENT,Otosclerosis,True,The question provides enough clinical information to determine a likely diagnosis without requiring options.
6212,bf090474-8b0f-4abe-9cf0-b5a53b5fc21a,"A child finds difficulty to spell and read, otherwise his IQ is normal, interacts well with parents and friends. Vision is normal. Most probable diagnosis of the condition is:",ADHD,Dyslexia,Autism,Asperger syndrome,1,single,The history of difficulty in reading and spelling mistakes in presence of normal IQ is suggestive of learning disorders (specific learning disability).,Psychiatry,Child Psychiatry,True,The question can be answered based on the provided information without needing to see options.
6213,1e6e2940-b60d-4072-a772-7fde22d7c2c2,"A 6-year-old girl is referred to you by her pediatrician complaining of a pain in her throat and presenting with an anterior cervical midline mass for several weeks. After a course of antibiotics the inflammation and erythema resolved but the mass still persisted. The mother is concerned. She remembers a time when the child was 3-years-old complaining of similar symptoms, but then it spontaneously resolved. Physical chest exam is normal but the mass appears to rise upward when the girl sticks out her tongue. What is the most common diagnosis?",Lingual thyroid,Branchial cleft remnant,Thyroglossal duct cyst,Uncomplicated cervical neck abscess,2,single,"Embryologically the thyroglossal duct cyst (Figure below) runs from the pyramidal lobe of the thyroid to the foramen cecum at the base of the tongue. It needs complete excision including part of the hyoid bone to avoid recurrence. An ectopic lingual thyroid is located at the base of the tongue and virtually never seen in the above described anterior midline location. Cervical lymphadenitis needs to be ruled out and a several microbial stains performed if an abscess develops. Masses caused by atypical mycobacterial do not respond to antibiotic therapy and need to be excised. Brachial cleft remnants are almost always seen in the alter neck and divided in several types depending on their branch origin. They, however, can also get infected in manifest sometimes in form of a lateral neck abscess.Thyroglossal cyst and duct course through the hyoid bone to the foramen cecum of the tongue",Surgery,Plastic & Reconstructive Surgery,True,The question can be answered based on the information provided without needing any options.
6214,604facb2-cb32-4876-b438-1069de54089c,35-year-old Raymond presents with a painless indurated ulcer on the penis with enlarged genital non-tender lymphnode. What is the diagnosis ?,Chancroid,Herpes genitalis,Syphilis,LGV,2,single,The presence of painless indurated ulcer and a non-tender lymph node is suggestive of primary syphilis.,Medicine,,True,The question describes symptoms that are specific enough to deduce a diagnosis without referencing options.
6217,b66f46b8-6757-4e36-850a-6e3778e55ebd,"A 24 year male came to OPD with brownish itchy patches in axilla, blood lamp examination shows ""coral red"" fluroscence. Most likely diagnosis is:",Tenia corporis,Hidradenitis suppurativa,Erythrasma,Tinea crusis,2,single,"Erythrasma is caused by Corynebacterium.minutissimum characterized by intense itchy brownish red patches in axilla and groin , which on wood lamp examination shows characteristic ""coral red"" fluorescence.",Dental,,True,The question provides enough information to determine a likely diagnosis based on symptoms and examination findings.
6218,1c7ecc42-0cb5-4340-91a1-9d26fe038cfb,A patient who has undergone paial gastrectomy presents with neurological symptoms. Most probable diagnosis,Folic acid deficiency,Thiamine deficiency,Vitamin B 12 deficiency,Iron deficiency,2,single,"In case of patients undergoing paial gastrectomy, postoperatively supplemented with vitamin B12 to avoid associated deficiency manifestations due to loss of gastric mucosa. Ref: SRB&;s manual of surgery,3 rd ed, pg no 757",Surgery,G.I.T,True,The question can be answered based on medical knowledge without needing specific options.
